snr, val
-40, -2.744643
-35, -2.559902
-30, -2.217100
-25, -1.569783
-20, -0.345970
-15, 1.832533
-10, 5.131723
-5, 9.150078
0, 13.130750
5, 16.268893
10, 18.106733
15, 18.909375
20, 19.200412
