snr, val
-40, -2.513996
-35, -2.136201
-30, -1.422992
-25, -0.088531
-20, 2.203807
-15, 5.424456
-10, 8.850239
-5, 11.501180
0, 12.953339
5, 13.550476
10, 13.759555
15, 13.828094
20, 13.850066
