snr, val
-40, -2.256790
-35, -1.680113
-30, -0.592303
-25, 1.358676
-20, 4.352632
-15, 7.946214
-10, 11.196533
-5, 13.319851
0, 14.315732
5, 14.684917
10, 14.806366
15, 14.844030
20, 14.855159
