snr, val
-40, -2.705816
-35, -2.492863
-30, -2.096114
-25, -1.344971
-20, 0.065598
-15, 2.505536
-10, 6.024091
-5, 10.103500
0, 13.955700
5, 16.807796
10, 18.361485
15, 19.004793
20, 19.232405
