snr, val
-40, -2.140931
-35, -1.422775
-30, -0.209388
-25, 1.407224
-20, 2.823306
-15, 3.606634
-10, 3.919710
-5, 4.026235
0, 4.060056
5, 4.070374
10, 4.073379
15, 4.074180
20, 4.074349
