snr, val
-40, -2.642472
-35, -2.383658
-30, -1.898875
-25, -0.979792
-20, 0.718770
-15, 3.517943
-10, 7.284627
-5, 11.377237
0, 14.985351
5, 17.423089
10, 18.631221
15, 19.101998
20, 19.264629
