snr, val
-40, -2.330920
-35, -1.799442
-30, -0.827352
-25, 0.783066
-20, 2.840960
-15, 4.582175
-10, 5.538542
-5, 5.925408
0, 6.060124
5, 6.104549
10, 6.119023
15, 6.123772
20, 6.125365
