snr, val
-40, -2.771673
-35, -2.606358
-30, -2.300550
-25, -1.724615
-20, -0.632570
-15, 1.347447
-10, 4.457171
-5, 8.398039
0, 12.448558
5, 15.793269
10, 17.867365
15, 18.816464
20, 19.168867
