snr, val
-40, -2.488538
-35, -2.090181
-30, -1.338833
-25, 0.055460
-20, 2.390149
-15, 5.502510
-10, 8.524727
-5, 10.568048
0, 11.543388
5, 11.910008
10, 12.032765
15, 12.071968
20, 12.084199
25, 12.087934
30, 12.089037
35, 12.089340
40, 12.089411
