snr, val
-40, -2.723975
-35, -2.523703
-30, -2.151230
-25, -1.446808
-20, -0.119989
-15, 2.202609
-10, 5.613317
-5, 9.617525
0, 13.397550
5, 16.160351
10, 17.637248
15, 18.239218
20, 18.449905
25, 18.519329
30, 18.541833
35, 18.549148
40, 18.551561
