snr, val
-40, -2.762673
-35, -2.590446
-30, -2.271489
-25, -1.670212
-20, -0.531406
-15, 1.518405
-10, 4.687451
-5, 8.618121
0, 12.535828
5, 15.605473
10, 17.379364
15, 18.144216
20, 18.419021
25, 18.510330
30, 18.539933
35, 18.549512
40, 18.552644
