snr, val
-40, -2.702370
-35, -2.495688
-30, -2.111079
-25, -1.383708
-20, -0.016924
-15, 2.357857
-10, 5.802307
-5, 9.784602
0, 13.457016
5, 16.038613
10, 17.355224
15, 17.871002
20, 18.045705
25, 18.101065
30, 18.117912
35, 18.122796
40, 18.124084
