snr, val
-40, -2.605054
-35, -2.302238
-30, -1.732329
-25, -0.652813
-20, 1.301024
-15, 4.353838
-10, 8.154600
-5, 11.869269
0, 14.630821
5, 16.116668
10, 16.720667
15, 16.929594
20, 16.996870
25, 17.017789
30, 17.024098
35, 17.025910
40, 17.026379
