snr, val
-40, -2.790300
-35, -2.645302
-30, -2.378087
-25, -1.876825
-20, -0.925904
-15, 0.825298
-10, 3.676749
-5, 7.430125
0, 11.353776
5, 14.563685
10, 16.497141
15, 17.351869
20, 17.659116
25, 17.758983
30, 17.789838
35, 17.798950
40, 17.801446
