snr, val
-40, -2.777224
-35, -2.653698
-30, -2.501829
-25, -2.376987
-20, -2.312211
-15, -2.288565
-10, -2.281790
-5, -2.280380
0, -2.280384
5, -2.280641
10, -2.280867
15, -2.281019
20, -2.281113
25, -2.281169
30, -2.281201
35, -2.281219
40, -2.281229
