snr, val
-40, -2.738812
-35, -2.612127
-30, -2.506709
-25, -2.449762
-20, -2.426968
-15, -2.419041
-10, -2.416416
-5, -2.415553
0, -2.415265
5, -2.415167
10, -2.415131
15, -2.415118
20, -2.415112
25, -2.415110
30, -2.415108
35, -2.415108
40, -2.415108
