snr, val
-40, -2.831216
-35, -2.733237
-30, -2.590000
-25, -2.433597
-20, -2.324409
-15, -2.275369
-10, -2.259211
-5, -2.255073
0, -2.254470
5, -2.254693
10, -2.254997
15, -2.255225
20, -2.255371
25, -2.255458
30, -2.255510
35, -2.255539
40, -2.255556
