snr, val
-40, -2.727203
-35, -2.603620
-30, -2.461165
-25, -2.354983
-20, -2.306526
-15, -2.292221
-10, -2.290118
-5, -2.291041
0, -2.292248
5, -2.293145
10, -2.293719
15, -2.294064
20, -2.294264
25, -2.294380
30, -2.294445
35, -2.294482
40, -2.294503
