snr, val
-40, -2.833451
-35, -2.726819
-30, -2.576611
-25, -2.423787
-20, -2.325261
-15, -2.282928
-10, -2.268814
-5, -2.264846
0, -2.263974
5, -2.263925
10, -2.264037
15, -2.264145
20, -2.264220
25, -2.264266
30, -2.264294
35, -2.264310
40, -2.264319
