snr, val
-40, -2.908585
-35, -2.849463
-30, -2.750601
-25, -2.605261
-20, -2.445318
-15, -2.332273
-10, -2.280216
-5, -2.262081
0, -2.256751
5, -2.255457
10, -2.255285
15, -2.255366
20, -2.255467
25, -2.255542
30, -2.255590
35, -2.255618
40, -2.255635
