snr, val
-40, -2.513466
-35, -2.135166
-30, -1.419745
-25, -0.074339
-20, 2.268296
-15, 5.671061
-10, 9.586353
-5, 13.134344
0, 15.551766
5, 16.746136
10, 17.206079
15, 17.361614
20, 17.411404
25, 17.426922
30, 17.431642
35, 17.433024
40, 17.433398
