snr, val
-40, -1.838144
-35, -0.979589
-30, 0.501777
-25, 2.600224
-20, 4.683848
-15, 6.032476
-10, 6.642951
-5, 6.868059
0, 6.944477
5, 6.969914
10, 6.978477
15, 6.981453
20, 6.982543
25, 6.982970
30, 6.983152
35, 6.983236
40, 6.983277
