snr, val
-40, -2.850657
-35, -2.699418
-30, -2.420065
-25, -1.894698
-20, -0.898003
-15, 0.918440
-10, 3.780933
-5, 7.309317
0, 10.578435
5, 12.784658
10, 13.869141
15, 14.297040
20, 14.450915
25, 14.505795
30, 14.526132
35, 14.534180
40, 14.537627
