snr, val
-40, -2.950606
-35, -2.858782
-30, -2.691146
-25, -2.380139
-20, -1.791920
-15, -0.671504
-10, 1.361085
-5, 4.523300
0, 8.445735
5, 12.327641
10, 15.331599
15, 17.048551
20, 17.789353
25, 18.060154
30, 18.153473
35, 18.185674
40, 18.197185
