snr, val
-40, -2.909572
-35, -2.787128
-30, -2.562259
-25, -2.142754
-20, -1.353686
-15, 0.076274
-10, 2.293749
-5, 4.797505
0, 6.657989
5, 7.588965
10, 7.947653
15, 8.070220
20, 8.110485
25, 8.123663
30, 8.128040
35, 8.129537
40, 8.130074
